Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\XRF Scan 2 Head.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:51:36 AM
TotalElapsedTimeInSeconds,31
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
1365,27.28,10
1366,27.3,6
1367,27.32,6
1368,27.34,6
1369,27.36,7
1370,27.38,4
1371,27.4,5
1372,27.42,3
1373,27.44,8
1374,27.46,2
1375,27.48,7
1376,27.5,6
1377,27.52,4
1378,27.54,5
1379,27.56,5
1380,27.58,7
1381,27.6,2
1382,27.62,4
1383,27.64,3
1384,27.66,6
1385,27.68,9
1386,27.7,4
1387,27.72,7
1388,27.74,10
1389,27.76,6
1390,27.78,3
1391,27.8,4
1392,27.82,4
1393,27.84,2
1394,27.86,7
1395,27.88,2
1396,27.9,2
1397,27.92,3
1398,27.94,2
1399,27.96,9
1400,27.98,6
1401,28,3
1402,28.02,5
1403,28.04,7
1404,28.06,6
1405,28.08,6
1406,28.1,7
1407,28.12,2
1408,28.14,6
1409,28.16,2
1410,28.18,10
1411,28.2,3
1412,28.22,5
1413,28.24,6
1414,28.26,13
1415,28.28,6
1416,28.3,8
1417,28.32,3
1418,28.34,8
1419,28.36,11
1420,28.38,13
1421,28.4,10
1422,28.42,16
1423,28.44,10
1424,28.46,10
1425,28.48,13
1426,28.5,10
1427,28.52,21
1428,28.54,8
1429,28.56,9
1430,28.58,6
1431,28.6,6
1432,28.62,7
1433,28.64,11
1434,28.66,5
1435,28.68,6
1436,28.7,8
1437,28.72,4
1438,28.74,5
1439,28.76,5
1440,28.78,9
1441,28.8,6
1442,28.82,9
1443,28.84,4
1444,28.86,2
1445,28.88,6
1446,28.9,6
1447,28.92,2
1448,28.94,5
1449,28.96,9
1450,28.98,7
1451,29,6
1452,29.02,10
1453,29.04,10
1454,29.06,7
1455,29.08,4
1456,29.1,7
1457,29.12,3
1458,29.14,7
1459,29.16,9
1460,29.18,4
1461,29.2,8
1462,29.22,3
1463,29.24,7
